고유번호,구명,품계수종,수고,관리등급,위치,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,관리기관,수목고유번호,보호덮개,가로명,품계흉고,수목명,경도,위도,피해정도
114,중구,4,10,1, ,2,1,122,8,25,9,5,공원녹지과,2-배오개길-가-0122,1,배오개길,12,소나무,126.9983663,37.5627216,0.00E+00
3,중구,6,6,3,약수사거리,2,2,35,8,12,6,6,공원녹지과,2-동호로-가-0035,1,동호로,3,왕벚나무,127.0118644,37.5544853,2
4,중구,6,5,3,서울지방국토관리청,2,2,159,6,10,6,2,공원녹지과,2-덕수궁길-가-0159,1,덕수궁길,3,상수리나무,126.9700888,37.5671674,2
5,중구,8,15,2,경찰서,2,2,55,8,20,9,8,공원녹지과,2-마장로-가-0055,1,마장로,3,은행나무,127.0156364,37.5681093,2
2,중구,8,14,1,한화빌딩,2,2,16,8,30,12,8,공원녹지과,2-을지로-가-0523,2,태평로1가로,6,은행나무,126.9858492,37.5675386,2
6,중구,4,16,1,성동공고,2,1,41,8,42,12,6,공원녹지과,2-마장로-가-0041,1,마장로,12,은행나무,127.0174887,37.568232,2
7,중구,8,8,1,두산타워,2,2,13,8,24,12,5,공원녹지과,2-홍인문로-가-0010,1,홍인문로,6,은행나무,127.0092671,37.5684911,2
8,중구,8,32,1,효령빌딩,2,2,31,8,45,9,15,공원녹지과,2-무교동길-가-0031,1,무교동길,12,은행나무,126.9793348,37.5680011,2
9,중구,8,12,1,부산은행,2,2,295,8,31,12,7,공원녹지과,2-을지로-가-0295,1,을지로,9,은행나무,126.9795153,37.5661233,2
10,중구,8,11,2,국립의료원,2,2,89,8,20,12,4,공원녹지과,2-을지로-가-0089,1,을지로,3,은행나무,127.004568,37.5670578,2
11,중구,8,15,2,기업은행,2,2,200,8,18,12,7,공원녹지과,2-을지로-가-0200,1,을지로,3,은행나무,126.9868198,37.5662307,2
12,중구,8,22,3,오장동함흥냉면,2,2,260,6,19,6,16,공원녹지과,2-마른내길-가-0260,1,마른내길,3,은행나무,126.9995761,37.5643877,1
13,중구,4,9,3,영미상가,2,2,3,8,30,6,7,공원녹지과,2-마장로-가-0003,1,마장로,6,은행나무,127.0229875,37.5680405,2
14,중구,4,27,1,서울역,2,2,22,8,60,12,14,공원녹지과,2-청파로-가-0044,2,청파로,12,양버즘나무,126.9695137,37.5579893,2
15,중구,8,17,1,신성당약국,2,2,331,8,30,12,9,공원녹지과,2-퇴계로-가-0331,1,퇴계로,6,은행나무,126.9804395,37.559468,2
16,중구,8,16,1,한국은행,2,2,7,8,33,12,8,공원녹지과,2-태평로-가-0007,1,태평로,9,은행나무,126.9761075,37.561158,2
17,중구,8,19,1,신남문빌딩,2,2,43,8,30,12,9,공원녹지과,2-남대문로-가-0043,1,남대문로,6,은행나무,126.9748271,37.5592511,2
18,중구,8,15,2,대경빌딩,2,2,422,8,30,6,10,공원녹지과,2-태평로-가-0427,1,태평로,6,은행나무,126.9741821,37.5608444,2
19,중구,4,27,1,계상양국,2,2,97,8,41,12,16,공원녹지과,2-삼일로-가-0098,1,삼일로,12,양버즘나무,126.9887679,37.5620501,2
20,중구,8,17,1,서울역,2,2,16,8,35,12,9,공원녹지과,2-의주로-가-0016,1,의주로,9,은행나무,126.9718285,37.5586546,2
21,중구,8,19,2,보영약국,2,2,201,8,14,12,14,공원녹지과,2-훈련원로-가-0201,1,훈련원로,3,은행나무,127.002253,37.5690091,2
22,중구,8,13,2,장충체육관,2,2,161,8,17,9,7,공원녹지과,2-동호로-가-0161,1,동호로,3,은행나무,127.0089695,37.5568534,2
23,중구,8,13,2,약수약국,2,2,197,8,28,9,6,공원녹지과,2-금호동길-가-0197,1,금호동길,6,은행나무,127.0134697,37.5603091,2
24,중구,8,10,1,마포로5구역,2,2,122,8,20,12,5,공원녹지과,2-서소문로-가-0124,1,서소문로,6,소나무,126.9665858,37.5608514,1
25,중구,8,14,1,자유웨딩홀,2,1,116,8,35,9,10,공원녹지과,2-장춘단길-가-0125,1,장춘단길,9,은행나무,127.0018767,37.5523842,2
26,중구,8,11,2,광화문파출소,2,2,194,8,24,6,5,공원녹지과,2-태평로-가-0194,1,태평로,6,느티나무,126.9760083,37.5688302,2
27,중구,6,6,3,희래정,2,2,151,8,10,6,3,공원녹지과,2-덕수궁길-가-0151,1,덕수궁길,0,상수리나무,126.9698474,37.5674248,2
28,중구,8,5,2,덕수궁돌담길,2,2,23,8,16,6,4,공원녹지과,2-덕수궁길-가-0023,1,덕수궁길,3,느티나무,126.9749229,37.5648992,2
