고유번호,구명,품계수종,수고,관리등급,위치,환경영향,전정,도로길이,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,현존유무,관리기관,피해정도,주변토지사용상태,방재,관리방안,수목고유번호,차선수,보호덮개,가로명,가치등급,품계흉고,수목명,경도,위도
114,중구,4,10,1, ,0.00E+00, ,0.00E+00,2,1,122,8,25,9,5,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-배오개길-가-0122,0.00E+00,1,배오개길,0.00E+00,12,소나무,126.9983663,37.5627216
3,중구,6,6,3,약수사거리,0.00E+00, ,0.00E+00,2,2,35,8,12,6,6,0,공원녹지과,2,0,2010. 진딧물 및 흰불나방 방제,0.00E+00,2-동호로-가-0035,0.00E+00,1,동호로,0.00E+00,3,왕벚나무,127.0118644,37.5544853
4,중구,6,5,3,서울지방국토관리청,0.00E+00, ,0.00E+00,2,2,159,6,10,6,2,0,공원녹지과,2,0, ,0.00E+00,2-덕수궁길-가-0159,0.00E+00,1,덕수궁길,0.00E+00,3,상수리나무,126.9700888,37.5671674
5,중구,8,15,2,경찰서,0.00E+00, ,0.00E+00,2,2,55,8,20,9,8,0,공원녹지과,2,0, ,0.00E+00,2-마장로-가-0055,0.00E+00,1,마장로,0.00E+00,3,은행나무,127.0156364,37.5681093
2,중구,8,14,1,한화빌딩,0.00E+00, ,0.00E+00,2,2,16,8,30,12,8,0,공원녹지과,2,0, ,0.00E+00,2-을지로-가-0523,0.00E+00,2,태평로1가로,0.00E+00,6,은행나무,126.9858492,37.5675386
6,중구,4,16,1,성동공고,0.00E+00, ,0.00E+00,2,1,41,8,42,12,6,0,공원녹지과,2,0, ,0.00E+00,2-마장로-가-0041,0.00E+00,1,마장로,0.00E+00,12,은행나무,127.0174887,37.568232
7,중구,8,8,1,두산타워,0.00E+00, ,0.00E+00,2,2,13,8,24,12,5,0,공원녹지과,2,0, ,0.00E+00,2-홍인문로-가-0010,0.00E+00,1,홍인문로,0.00E+00,6,은행나무,127.0092671,37.5684911
8,중구,8,32,1,효령빌딩,0.00E+00, ,0.00E+00,2,2,31,8,45,9,15,0,공원녹지과,2,0, ,0.00E+00,2-무교동길-가-0031,0.00E+00,1,무교동길,0.00E+00,12,은행나무,126.9793348,37.5680011
9,중구,8,12,1,부산은행,0.00E+00, ,0.00E+00,2,2,295,8,31,12,7,0,공원녹지과,2,0, ,0.00E+00,2-을지로-가-0295,0.00E+00,1,을지로,0.00E+00,9,은행나무,126.9795153,37.5661233
10,중구,8,11,2,국립의료원,0.00E+00, ,0.00E+00,2,2,89,8,20,12,4,0,공원녹지과,2,0, ,0.00E+00,2-을지로-가-0089,0.00E+00,1,을지로,0.00E+00,3,은행나무,127.004568,37.5670578
11,중구,8,15,2,기업은행,0.00E+00, ,0.00E+00,2,2,200,8,18,12,7,0,공원녹지과,2,0, ,0.00E+00,2-을지로-가-0200,0.00E+00,1,을지로,0.00E+00,3,은행나무,126.9868198,37.5662307
12,중구,8,22,3,오장동함흥냉면,0.00E+00, ,0.00E+00,2,2,260,6,19,6,16,0,공원녹지과,1,0, ,0.00E+00,2-마른내길-가-0260,0.00E+00,1,마른내길,0.00E+00,3,은행나무,126.9995761,37.5643877
13,중구,4,9,3,영미상가,0.00E+00, ,0.00E+00,2,2,3,8,30,6,7,0,공원녹지과,2,0, ,0.00E+00,2-마장로-가-0003,0.00E+00,1,마장로,0.00E+00,6,은행나무,127.0229875,37.5680405
14,중구,4,27,1,서울역,0.00E+00, ,0.00E+00,2,2,22,8,60,12,14,0,공원녹지과,2,0,2010. 방패벌레 수간주사 및 흰불나방 지상방제,0.00E+00,2-청파로-가-0044,0.00E+00,2,청파로,0.00E+00,12,양버즘나무,126.9695137,37.5579893
15,중구,8,17,1,신성당약국,0.00E+00, ,0.00E+00,2,2,331,8,30,12,9,0,공원녹지과,2,0, ,0.00E+00,2-퇴계로-가-0331,0.00E+00,1,퇴계로,0.00E+00,6,은행나무,126.9804395,37.559468
16,중구,8,16,1,한국은행,0.00E+00, ,0.00E+00,2,2,7,8,33,12,8,0,공원녹지과,2,0, ,0.00E+00,2-태평로-가-0007,0.00E+00,1,태평로,0.00E+00,9,은행나무,126.9761075,37.561158
17,중구,8,19,1,신남문빌딩,0.00E+00, ,0.00E+00,2,2,43,8,30,12,9,0,공원녹지과,2,0, ,0.00E+00,2-남대문로-가-0043,0.00E+00,1,남대문로,0.00E+00,6,은행나무,126.9748271,37.5592511
18,중구,8,15,2,대경빌딩,0.00E+00, ,0.00E+00,2,2,422,8,30,6,10,0,공원녹지과,2,0, ,0.00E+00,2-태평로-가-0427,0.00E+00,1,태평로,0.00E+00,6,은행나무,126.9741821,37.5608444
19,중구,4,27,1,계상양국,0.00E+00, ,0.00E+00,2,2,97,8,41,12,16,0,공원녹지과,2,0,2010. 방패벌레 수간주사 및 흰불나방 지상방제,0.00E+00,2-삼일로-가-0098,0.00E+00,1,삼일로,0.00E+00,12,양버즘나무,126.9887679,37.5620501
20,중구,8,17,1,서울역,0.00E+00, ,0.00E+00,2,2,16,8,35,12,9,0,공원녹지과,2,0, ,0.00E+00,2-의주로-가-0016,0.00E+00,1,의주로,0.00E+00,9,은행나무,126.9718285,37.5586546
21,중구,8,19,2,보영약국,0.00E+00, ,0.00E+00,2,2,201,8,14,12,14,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0201,0.00E+00,1,훈련원로,0.00E+00,3,은행나무,127.002253,37.5690091
22,중구,8,13,2,장충체육관,0.00E+00, ,0.00E+00,2,2,161,8,17,9,7,0,공원녹지과,2,0, ,0.00E+00,2-동호로-가-0161,0.00E+00,1,동호로,0.00E+00,3,은행나무,127.0089695,37.5568534
23,중구,8,13,2,약수약국,0.00E+00, ,0.00E+00,2,2,197,8,28,9,6,0,공원녹지과,2,0, ,0.00E+00,2-금호동길-가-0197,0.00E+00,1,금호동길,0.00E+00,6,은행나무,127.0134697,37.5603091
24,중구,8,10,1,마포로5구역,0.00E+00, ,0.00E+00,2,2,122,8,20,12,5,0,공원녹지과,1,0, ,0.00E+00,2-서소문로-가-0124,0.00E+00,1,서소문로,0.00E+00,6,소나무,126.9665858,37.5608514
